Date,Close,target,5sma,25Sma,50Sma,val1,val2,val3,val4,val5
2/28/2022,436.630005,-4.459992,,,,,,,,
3/1/2022,429.980011,-10.550018,,,,,,,,
3/2/2022,437.890015,-21.640015,,,,,,,,
3/3/2022,435.709991,-8.299987,,,,,,,,
3/4/2022,432.170013,-6.690002,434.476007,,,,,,,
3/7/2022,419.429993,0.640014,431.0360046,,,,,,,
3/8/2022,416.25,0.75,428.2900024,,,,,,,
3/9/2022,427.410004,-1.239991,426.1940002,,,,,7.3767325,,
3/10/2022,425.480011,10.139984,424.1480042,,,,,6.704333662,,
3/11/2022,420.070007,21,421.728003,,,,,8.069296576,,
3/14/2022,417,27.519989,421.2420044,,,,,9.145174944,,
3/15/2022,426.170013,18.220002,423.226007,,,,,4.245900622,,
3/16/2022,435.619995,13.970001,424.8680052,,,,,6.072336673,,
3/17/2022,441.070007,2.729981,427.9860044,,,,,9.361037115,,
3/18/2022,444.519989,5.970001,432.8760008,,,,,12.51518864,,
3/21/2022,444.390015,8.299987,438.3540038,,,,,11.07241713,,
3/22/2022,449.589996,6.320008,443.0380004,,,,,6.662485329,,
3/23/2022,443.799988,17.75,444.673999,,,,,9.226133708,,
3/24/2022,450.48999,8.210022,446.5579956,,,,,9.894291221,,
3/25/2022,452.690002,-1.049987,448.1919982,,,,,6.228607873,,
3/28/2022,455.910004,-2.989991,450.495996,,,,,4.152662688,,
3/29/2022,461.549988,-4.75,452.8879944,,,,,5.692975746,,
3/30/2022,458.700012,-7.670013,455.8679992,,,,,4.836303427,,
3/31/2022,451.640015,-5.120026,456.0980042,,,,,6.705912781,,
4/1/2022,452.920013,-4.150024,456.1440064,438.6832031,,17.46080332,,8.260627607,,
4/4/2022,456.799988,-9.229981,456.3220032,439.4900024,,16.8320008,,9.435437164,,
4/5/2022,451.029999,-11.109986,454.2180054,440.3320019,,13.88600348,,6.025491304,,
4/6/2022,446.519989,-8.22998,451.7820008,440.6772009,,11.10479992,,2.475346329,,
4/7/2022,448.769989,-5.459991,451.2079956,441.1996008,,10.0083948,,1.728293808,,3.325102509
4/8/2022,447.570007,-9.779998,450.1379944,441.8156006,,8.32239384,,2.168622254,,3.361293807
4/11/2022,439.920013,-1.950012,446.7619994,442.6352014,,4.12679804,,2.869262783,,3.616918489
4/12/2022,438.290009,6.75,444.2140014,443.5168017,,0.69719968,,2.890553573,,4.34509741
4/13/2022,443.309998,1.399993,443.5720032,444.1528015,,-0.58079828,,2.821755227,,4.619715744
4/14/2022,437.790009,0.269989,441.3760072,444.6452014,,-3.2691942,,2.118647748,,4.486622863
4/18/2022,437.970001,-11.929992,439.456006,445.3612012,,-5.90519516,,3.658519896,,3.825882574
4/19/2022,445.040009,-16.529999,440.4800052,446.4828015,,-6.00279632,,6.573504432,,3.043455834
4/20/2022,444.709991,-28.609985,441.7640016,447.2244006,,-5.46039904,,6.333256289,,2.329262391
4/21/2022,438.059998,-20.790009,440.7140016,447.3220008,,-6.60799916,,6.017786658,,1.285473321
4/22/2022,426.040009,1.769989,438.3640016,446.7208008,,-8.35679924,,6.851282039,,1.13309052
4/25/2022,428.51001,-16.51001,436.4720034,446.0804017,,-9.60839828,,9.783155912,,1.728313848
4/26/2022,416.100006,-1.619995,430.6840028,444.9488013,,-14.26479852,,12.47294898,,3.415184914
4/27/2022,417.269989,-0.889984,425.1960024,443.656001,,-18.45999864,,10.75119401,,4.833918466
4/28/2022,427.809998,1.25,423.1460024,443.0164014,,-19.87039904,,11.30836698,,5.135473768
4/29/2022,412,1.809998,420.3380006,441.4768018,,-21.13880124,,11.15996911,,4.718793149
5/2/2022,414.480011,-3.140015,417.5320008,439.9484022,,-22.4164014,,12.88620976,,3.140577765
5/3/2022,416.380005,-18.209992,417.5880006,438.3672022,,-20.77920164,,10.27065923,,1.475735908
5/4/2022,429.059998,-29.970002,419.9460024,437.0676026,,-17.12160024,,7.574500752,,1.980727864
5/5/2022,413.809998,-21.059998,417.1460024,435.2720021,,-18.12599968,,7.581081976,,2.208231049
5/6/2022,411.339996,-19,417.0140016,433.6600013,,-16.64599972,,2.047750377,,2.483412225
5/9/2022,398.170013,3.549988,413.752002,431.4700013,435.0766022,-17.71799932,-3.60660088,8.269216118,,1.611964635
5/10/2022,399.089996,1,410.2940002,429.1616016,434.325802,-18.86760144,-5.16420038,13.95257488,,0.864648653
5/11/2022,392.75,15.570007,403.0320006,426.8304017,433.5812018,-23.79840108,-6.75080012,13.13810201,,2.783255048
5/12/2022,392.339996,-0.480011,398.7380002,424.663202,432.6702014,-25.92520176,-8.00699946,9.671180158,,4.047480476
5/13/2022,401.720001,-12.26001,396.8140012,422.7812024,431.9904016,-25.96720124,-9.20919918,12.37387776,2.225899683,3.920815851
5/16/2022,400.089996,-10.459991,397.1979978,420.882002,431.3488013,-23.6840042,-10.46679928,14.65264956,2.068649868,2.891386703
5/17/2022,408.320007,-11.399994,399.044,419.6180018,431.1266016,-20.57400176,-11.5085998,15.66070165,1.894443508,2.20531845
5/18/2022,391.859985,2.03003,398.865997,417.7608008,430.6388013,-18.8948038,-12.87800046,12.42151387,1.905087356,3.184597492
5/19/2022,389.459991,7.910004,398.289996,415.6068005,429.879801,-17.31680452,-14.27300048,9.945765246,1.985202622,3.52290127
5/20/2022,389.630005,15.679993,395.8719968,413.6804004,429.1628009,-17.80840356,-15.48240052,11.11961546,2.025370305,2.575481122
